Mon Jul  1 15:37:16 2024    output.prof

         31094020 function calls (30269907 primitive calls) in 394.255 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    1.132    0.113 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:30(_launch_pick_event)
       10    0.015    0.001    1.130    0.113 {method 'Pick' of 'vtkmodules.vtkRenderingCore.vtkCellPicker' objects}
       10    0.001    0.000    1.115    0.112 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:476(_end_pick_event)
    28/10    0.000    0.000    1.109    0.111 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:40(_poked_context_callback)
       10    0.000    0.000    1.108    0.111 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:855(_end_pick_event)
       10    0.000    0.000    1.106    0.111 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:225(__call__)
       78    0.000    0.000    1.078    0.014 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:781(_finalize_final_module)
        8    0.001    0.000    1.066    0.133 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:1497(_end_handler)
       78    0.000    0.000    1.043    0.013 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:667(_optimize_final_module)
      156    0.000    0.000    1.043    0.007 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:668(run)
        4    0.000    0.000    0.998    0.250 /opt/homebrew/lib/python3.11/site-packages/numba/np/arraymath.py:306(array_sum_axis)
        8    0.000    0.000    0.994    0.124 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:197(<lambda>)
        8    0.000    0.000    0.994    0.124 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:190(on_pick)
        8    0.001    0.000    0.992    0.124 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:166(plot_picked_cell_over_time)
       78    0.000    0.000    0.907    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:996(_finalize_specific)
      115    0.000    0.000    0.837    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1058(wrapper)
       78    0.000    0.000    0.836    0.011 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:87(finalize_object)
       29    0.001    0.000    0.697    0.024 /opt/homebrew/lib/python3.11/site-packages/numba/np/ufunc/array_exprs.py:354(_lower_array_expr)
       16    0.000    0.000    0.641    0.040 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:45(draw)
       16    0.000    0.000    0.637    0.040 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:381(draw)
       16    0.000    0.000    0.634    0.040 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
  1712/16    0.003    0.000    0.634    0.040 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
       16    0.000    0.000    0.634    0.040 /opt/homebrew/lib/python3.11/site-packages/matplotlib/figure.py:3134(draw)
    32/16    0.000    0.000    0.625    0.039 /opt/homebrew/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
       16    0.000    0.000    0.625    0.039 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axes/_base.py:3005(draw)
     1666    0.334    0.000    0.581    0.000 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:214(calculate_secondary_radiation_coefficients)
      108    0.001    0.000    0.522    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:723(add_ir_module)
     2181    0.002    0.000    0.470    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:57(pformat)
     2181    0.002    0.000    0.467    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:156(pformat)
50193/2181    0.035    0.000    0.462    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:168(_format)
117065/109787    0.022    0.000    0.440    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.405    0.405 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/render_window_interactor.py:1070(initialize)
        1    0.405    0.405    0.405    0.405 {method 'Initialize' of 'vtkmodules.vtkRenderingUI.vtkCocoaRenderWindowInteractor' objects}
  554/467    0.001    0.000    0.374    0.001 <frozen importlib._bootstrap>:1165(_find_and_load)
   136/49    0.000    0.000    0.373    0.008 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     4998    0.372    0.000    0.372    0.000 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:618(<listcomp>)
   133/48    0.000    0.000    0.368    0.008 <frozen importlib._bootstrap>:666(_load_unlocked)
   128/48    0.000    0.000    0.367    0.008 <frozen importlib._bootstrap_external>:934(exec_module)
       57    0.001    0.000    0.359    0.006 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:1862(render)
       51    0.356    0.007    0.356    0.007 {method 'Render' of 'vtkmodules.vtkRenderingOpenGL2.vtkCocoaRenderWindow' objects}
   330/64    0.000    0.000    0.341    0.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
