Wed Jul 10 09:08:30 2024    output.prof

         68812773 function calls (66496251 primitive calls) in 107.240 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   165503    0.060    0.000    0.536    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:454(_repr)
    25437    0.044    0.000    0.529    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/font_manager.py:1303(_find_fonts_by_props)
    31859    0.016    0.000    0.522    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
      538    0.001    0.000    0.508    0.001 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/mapper.py:888(__init__)
      538    0.001    0.000    0.507    0.001 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/mapper.py:385(__init__)
      538    0.009    0.000    0.506    0.001 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/mapper.py:38(__init__)
    31859    0.020    0.000    0.506    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:1223(set)
  855/843    0.002    0.000    0.481    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:704(__call__)
184397/162224    0.068    0.000    0.479    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:141(__exit__)
      124    0.000    0.000    0.471    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/typed/typedlist.py:341(append)
      664    0.001    0.000    0.467    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:233(__repr__)
    93801    0.050    0.000    0.466    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
328100/165503    0.095    0.000    0.466    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:463(format)
      664    0.001    0.000    0.462    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      664    0.002    0.000    0.460    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:212(<listcomp>)
     7506    0.014    0.000    0.453    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/ticker.py:699(set_locs)
     9597    0.019    0.000    0.449    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:208(get_text_width_height_descent)
   394245    0.198    0.000    0.447    0.000 /opt/homebrew/lib/python3.11/site-packages/numpy/core/numerictypes.py:357(issubdtype)
9183/5804    0.011    0.000    0.444    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:981(__get__)
     1834    0.001    0.000    0.441    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1013(__str__)
        1    0.125    0.125    0.440    0.440 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:445(apply_scattering)
     1834    0.001    0.000    0.439    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1006(descr)
   185565    0.107    0.000    0.437    0.000 /opt/homebrew/lib/python3.11/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
 1049/960    0.001    0.000    0.434    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
   240876    0.230    0.000    0.433    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
   137/48    0.000    0.000    0.432    0.009 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
537534/92895    0.322    0.000    0.431    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:318(_rec_list_vars)
   134/47    0.000    0.000    0.429    0.009 <frozen importlib._bootstrap>:666(_load_unlocked)
