Rotation Angle (rad), Temperature (K)
1.935221074611312708e-01,5.355132075598005059e+01
1.947787445225671599e-01,5.354742219127953007e+01
1.960353815840030767e-01,5.354352638221958927e+01
1.972920186454389935e-01,5.353963332526372909e+01
1.985486557068749380e-01,5.353574301688212245e+01
1.998052927683108548e-01,5.353185545355155739e+01
2.010619298297467716e-01,5.352797063175543713e+01
2.023185668911826607e-01,5.352408854798378002e+01
2.035752039526185775e-01,5.352020919873316984e+01
2.048318410140544943e-01,5.351633258050677000e+01
2.060884780754904388e-01,5.351245868981428089e+01
2.073451151369263556e-01,5.350858752317194700e+01
2.086017521983622725e-01,5.350471907710252850e+01
2.098583892597981615e-01,5.350085334813527993e+01
2.111150263212340783e-01,5.349699033280595017e+01
2.123716633826699951e-01,5.349313002765674696e+01
2.136283004441059397e-01,5.348927242923632974e+01
2.148849375055418565e-01,5.348541753409980970e+01
2.161415745669777733e-01,5.348156533880870001e+01
2.173982116284136623e-01,5.347771583993093003e+01
2.186548486898495791e-01,5.347386903404080982e+01
2.199114857512855514e-01,5.347002491771903010e+01
2.211681228127214405e-01,5.346618348755263384e+01
2.224247598741573573e-01,5.346234474013500204e+01
2.236813969355932741e-01,5.345850867206584667e+01
2.249380339970291909e-01,5.345467527995118218e+01
2.261946710584650799e-01,5.345084456040332554e+01
2.274513081199010522e-01,5.344701651004086784e+01
2.287079451813369413e-01,5.344319112548866713e+01
2.299645822427728581e-01,5.343936840337782002e+01
2.312212193042087749e-01,5.343554834034566881e+01
2.324778563656446917e-01,5.343173093303575882e+01
2.337344934270805807e-01,5.342791617809784555e+01
2.349911304885165531e-01,5.342410407218786617e+01
2.362477675499524421e-01,5.342029461196792539e+01
2.375044046113883589e-01,5.341648779410629544e+01
2.387610416728242757e-01,5.341268361527737341e+01
2.400176787342601925e-01,5.340888207216170258e+01
2.412743157956960816e-01,5.340508316144591561e+01
2.425309528571320539e-01,5.340128687982274869e+01
2.437875899185679429e-01,5.339749322399102738e+01
2.450442269800038597e-01,5.339370219065562395e+01
2.463008640414397765e-01,5.338991377652747872e+01
2.475575011028756933e-01,5.338612797832356449e+01
2.488141381643116379e-01,5.338234479276686528e+01
2.500707752257475547e-01,5.337856421658638340e+01
2.513274122871834715e-01,5.337478624651710390e+01
2.525840493486193883e-01,5.337101087929999466e+01
2.538406864100552496e-01,5.336723811168198495e+01
2.550973234714911664e-01,5.336346794041595132e+01
2.563539605329271387e-01,5.335970036226070334e+01
2.576105975943630555e-01,5.335593537398097652e+01
2.588672346557989723e-01,5.335217297234739675e+01
2.601238717172348891e-01,5.334841315413648744e+01
2.613805087786707504e-01,5.334465591613065527e+01
2.626371458401066672e-01,5.334090125511816183e+01
2.638937829015426395e-01,5.333714916789311644e+01
2.651504199629785563e-01,5.333339965125545490e+01
2.664070570244144731e-01,5.332965270201094654e+01
2.676636940858503899e-01,5.332590831697115874e+01
2.689203311472862512e-01,5.332216649295344268e+01
2.701769682087221680e-01,5.331842722678094049e+01
2.714336052701581403e-01,5.331469051528254255e+01
2.726902423315940571e-01,5.331095635529290178e+01
2.739468793930299739e-01,5.330722474365240515e+01
2.752035164544658907e-01,5.330349567720714532e+01
2.764601535159017520e-01,5.329976915280894190e+01
2.777167905773377243e-01,5.329604516731529884e+01
2.789734276387736411e-01,5.329232371758939735e+01
2.802300647002095579e-01,5.328860480050008874e+01
2.814867017616454747e-01,5.328488841292188027e+01
2.827433388230813915e-01,5.328117455173492090e+01
2.839999758845172528e-01,5.327746321382497285e+01
2.852566129459532251e-01,5.327375439608341878e+01
2.865132500073891419e-01,5.327004809540723329e+01
2.877698870688250588e-01,5.326634430869899006e+01
2.890265241302609756e-01,5.326264303286681923e+01
2.902831611916968924e-01,5.325894426482442157e+01
2.915397982531327536e-01,5.325524800149103299e+01
2.927964353145687260e-01,5.325155423979143166e+01
2.940530723760046428e-01,5.324786297665590240e+01
2.953097094374405596e-01,5.324417420902025100e+01
2.965663464988764764e-01,5.324048793382575440e+01
2.978229835603123932e-01,5.323680414801918914e+01
2.990796206217483100e-01,5.323312284855278875e+01
3.003362576831842268e-01,5.322944403238423661e+01
3.015928947446201436e-01,5.322576769647666595e+01
3.028495318060560604e-01,5.322209383779863145e+01
3.041061688674919772e-01,5.321842245332409504e+01
3.053628059289278940e-01,5.321475354003243297e+01
3.066194429903638108e-01,5.321108709490840027e+01
3.078760800517997276e-01,5.320742311494213794e+01
3.091327171132356444e-01,5.320376159712913733e+01
3.103893541746715612e-01,5.320010253847025439e+01
3.116459912361074780e-01,5.319644593597166704e+01
3.129026282975433948e-01,5.319279178664488938e+01
3.141592653589793116e-01,5.318914008750674327e+01
3.154159024204152284e-01,5.318549083557935120e+01
3.166725394818511452e-01,5.318184402789012211e+01
3.179291765432870620e-01,5.317819966147174426e+01
3.191858136047229788e-01,5.317455773336216396e+01
3.204424506661588956e-01,5.317091824060457839e+01
