Rotation angle (rad), Temperature (K)
1.143768479602605137e-01,5.373442997472534444e+01
1.156337363993842626e-01,5.373014297315161514e+01
1.168906248385080116e-01,5.372585913639564126e+01
1.181475132776317466e-01,5.372157846018966154e+01
1.194044017167554816e-01,5.371730094027440572e+01
1.206612901558792306e-01,5.371302657239902345e+01
1.219181785950029795e-01,5.370875535232109144e+01
1.231750670341267145e-01,5.370448727580659209e+01
1.244319554732504496e-01,5.370022233862988514e+01
1.256888439123741985e-01,5.369596053657367207e+01
1.269457323514979474e-01,5.369170186542900325e+01
1.282026207906216686e-01,5.368744632099523528e+01
1.294595092297454175e-01,5.368319389908000261e+01
1.307163976688691664e-01,5.367894459549921748e+01
1.319732861079929154e-01,5.367469840607702736e+01
1.332301745471166643e-01,5.367045532664582197e+01
1.344870629862403855e-01,5.366621535304616941e+01
1.357439514253641344e-01,5.366197848112683033e+01
1.370008398644878833e-01,5.365774470674472241e+01
1.382577283036116045e-01,5.365351402576490614e+01
1.395146167427353534e-01,5.364928643406054221e+01
1.407715051818591023e-01,5.364506192751290570e+01
1.420283936209828513e-01,5.364084050201132214e+01
1.432852820601066002e-01,5.363662215345318174e+01
1.445421704992303213e-01,5.363240687774391091e+01
1.457990589383540703e-01,5.362819467079693680e+01
1.470559473774778192e-01,5.362398552853368727e+01
1.483128358166015404e-01,5.361977944688354114e+01
1.495697242557252893e-01,5.361557642178384242e+01
1.508266126948490382e-01,5.361137644917984346e+01
1.520835011339727871e-01,5.360717952502471206e+01
1.533403895730965361e-01,5.360298564527951015e+01
1.545972780122202572e-01,5.359879480591315115e+01
1.558541664513440062e-01,5.359460700290239288e+01
1.571110548904677551e-01,5.359042223223181622e+01
1.583679433295914762e-01,5.358624048989382516e+01
1.596248317687152252e-01,5.358206177188858987e+01
1.608817202078389741e-01,5.357788607422403970e+01
1.621386086469627230e-01,5.357371339291586310e+01
1.633954970860864719e-01,5.356954372398745079e+01
1.646523855252101931e-01,5.356537706346991001e+01
1.659092739643339420e-01,5.356121340740203607e+01
1.671661624034576910e-01,5.355705275183027680e+01
1.684230508425814121e-01,5.355289509280872551e+01
1.696799392817051610e-01,5.354874042639910670e+01
1.709368277208289100e-01,5.354458874867073348e+01
1.721937161599526589e-01,5.354044005570051468e+01
1.734506045990764078e-01,5.353629434357292638e+01
1.747074930382001290e-01,5.353215160837998354e+01
1.759643814773238779e-01,5.352801184622122577e+01
1.772212699164476268e-01,5.352387505320370309e+01
1.784781583555713480e-01,5.351974122544195467e+01
1.797350467946950969e-01,5.351561035905797326e+01
1.809919352338188459e-01,5.351148245018122651e+01
1.822488236729425948e-01,5.350735749494859306e+01
1.835057121120663437e-01,5.350323548950436248e+01
1.847626005511900649e-01,5.349911643000022821e+01
1.860194889903138138e-01,5.349500031259523780e+01
1.872763774294375627e-01,5.349088713345581425e+01
1.885332658685612839e-01,5.348677688875569203e+01
1.897901543076850328e-01,5.348266957467593841e+01
1.910470427468087817e-01,5.347856518740491794e+01
1.923039311859325307e-01,5.347446372313827112e+01
1.935608196250562796e-01,5.347036517807889311e+01
1.948177080641800007e-01,5.346626954843693369e+01
1.960745965033037497e-01,5.346217683042975466e+01
1.973314849424274986e-01,5.345808702028192272e+01
1.985883733815512198e-01,5.345400011422520237e+01
1.998452618206749687e-01,5.344991610849851327e+01
2.011021502597987176e-01,5.344583499934793736e+01
2.023590386989224665e-01,5.344175678302668331e+01
2.036159271380462155e-01,5.343768145579507234e+01
2.048728155771699366e-01,5.343360901392053108e+01
2.061297040162936856e-01,5.342953945367754898e+01
2.073865924554174345e-01,5.342547277134768535e+01
2.086434808945411556e-01,5.342140896321954102e+01
2.099003693336649046e-01,5.341734802558874406e+01
2.111572577727886535e-01,5.341328995475792851e+01
2.124141462119124024e-01,5.340923474703670593e+01
2.136710346510361513e-01,5.340518239874167250e+01
2.149279230901598725e-01,5.340113290619637354e+01
2.161848115292836214e-01,5.339708626573128925e+01
2.174416999684073704e-01,5.339304247368382050e+01
2.186985884075310915e-01,5.338900152639828178e+01
2.199554768466548405e-01,5.338496342022584429e+01
2.212123652857785894e-01,5.338092815152457149e+01
2.224692537249023383e-01,5.337689571665936228e+01
2.237261421640260872e-01,5.337286611200195097e+01
2.249830306031498084e-01,5.336883933393090018e+01
2.262399190422735573e-01,5.336481537883154402e+01
2.274968074813973062e-01,5.336079424309601649e+01
2.287536959205210274e-01,5.335677592312321593e+01
2.300105843596447763e-01,5.335276041531878377e+01
2.312674727987685253e-01,5.334874771609509736e+01
2.325243612378922742e-01,5.334473782187123447e+01
2.337812496770160231e-01,5.334073072907298751e+01
2.350381381161397443e-01,5.333672643413280667e+01
2.362950265552634932e-01,5.333272493348982835e+01
2.375519149943872421e-01,5.332872622358981829e+01
2.388088034335109633e-01,5.332473030088518584e+01
2.400656918726347122e-01,5.332073716183495549e+01
2.413225803117584611e-01,5.331674680290473134e+01
2.425794687508822101e-01,5.331275922056671135e+01
2.438363571900059590e-01,5.330877441129965177e+01
2.450932456291296802e-01,5.330479237158886718e+01
2.463501340682534291e-01,5.330081309792619493e+01
2.476070225073771780e-01,5.329683658680999514e+01
2.488639109465008992e-01,5.329286283474512231e+01
2.501207993856246481e-01,5.328889183824291109e+01
2.513776878247483970e-01,5.328492359382117627e+01
2.526345762638721459e-01,5.328095809800417726e+01
2.538914647029958949e-01,5.327699534732261100e+01
2.551483531421196438e-01,5.327303533831358351e+01
