Rotation (degrees),Temperature (K),Black Body Temperature (K)
53.366834170854275,101.35353725728574,0.0
54.2713567839196,101.28865369050709,0.0
55.175879396984925,101.22426088808997,0.0
56.08040201005025,101.1602368088603,0.0
56.98492462311558,101.09669311710425,0.0
57.88944723618091,101.0335082226254,0.0
58.79396984924623,100.97079366570013,0.0
59.69849246231156,100.90842834005932,0.0
60.60301507537689,100.84652361512447,0.0
61.50753768844221,100.78495889896303,0.0
62.41206030150754,100.7238453465785,0.0
63.31658291457287,100.66306290841499,0.0
64.22110552763819,100.60272248455816,0.0
65.12562814070353,100.54270459365827,0.0
66.03015075376885,100.48311984324388,0.0
66.93467336683418,100.42384934393779,0.0
67.8391959798995,100.36500337574442,0.0
68.74371859296483,100.30646366309921,0.0
69.64824120603015,100.24834012601336,0.0
70.55276381909547,100.19051512277562,0.0
71.4572864321608,100.13309818327058,0.0
72.36180904522614,100.07597231800004,0.0
73.26633165829146,100.01924663877342,0.0
74.17085427135679,99.96280482509421,0.0
75.07537688442211,99.90675554479282,0.0
75.97989949748744,99.8509831616944,0.0
76.88442211055276,99.79559587566078,0.0
77.78894472361809,99.74047874878543,0.0
78.69346733668343,99.685739490765,0.0
79.59798994974875,99.63126387462346,0.0
80.50251256281408,99.57715909937421,0.0
81.4070351758794,99.52331166043328,0.0
82.31155778894473,99.46982822879893,0.5219651442344058
83.21608040201005,99.41659603195663,0.6337119855306429
84.12060301507537,99.36372119469209,0.7782270277597277
85.0251256281407,99.31109201126996,1.987206657358699
85.92964824120604,99.25881395914527,2.341607865906685
86.83417085427136,99.2067758477336,2.632778372162772
87.73869346733669,99.15508258021389,2.783612819512619
88.64321608040201,99.10362385652058,3.03330198439345
89.54773869346734,99.05250389223445,3.1963438515661364
90.45226130653266,99.10523179766867,46.752575284029945
91.35678391959799,98.99417927874188,3.483844561410789
92.26130653266333,98.94453132536823,3.646218781161532
93.16582914572865,98.87974794585092,3.854144044041197
94.07035175879398,98.8304175450326,4.029450289812294
94.9748743718593,102.22874080782522,112.34563005033596
95.87939698492463,104.27306544582065,117.42403343710778
96.78391959798995,106.5974086542311,121.91124591667555
97.68844221105527,108.68774006588822,125.94624234311668
98.5929648241206,110.95118297603825,129.6234654943842
99.49748743718594,113.12710603913634,133.0045596921158
100.40201005025126,115.41728160791284,136.13818368932252
101.30653266331659,117.65624165272202,139.0613206410344
102.21105527638191,119.96951750445683,141.80294681232516
103.11557788944724,122.23915513047561,144.3857347225903
104.02010050251256,124.55321142310542,146.82871221602088
104.92462311557789,126.82176122809376,149.1467838625076
105.82914572864323,129.11147148422893,151.3526805956271
106.73366834170855,131.35089484007642,153.45728561718934
107.63819095477388,133.59355490786717,155.46950501369108
108.5427135678392,135.7808605912083,157.39716171524725
109.44723618090453,137.95770974491833,159.24705640549578
110.35175879396985,140.07518516421925,161.02505402044136
111.25628140703517,142.1722518100599,162.73630293206895
112.1608040201005,144.20743981731667,164.38555334610427
113.06532663316584,146.21539614322043,165.97653852142
113.96984924623116,148.16039560717286,167.5131183547955
114.87437185929649,150.07393131400994,168.99846746570194
115.77889447236181,151.92476187637277,170.43541224107867
116.68341708542714,153.74181853658732,171.82657860363153
117.58793969849246,155.4974378308154,173.17430330766655
118.49246231155779,157.21844997686077,174.48073357127632
119.39698492462313,158.880055718522,175.74784319421596
120.30150753768845,160.5073607992277,176.97757163455069
121.20603015075378,162.07773366486492,178.1712877347739
122.1105527638191,163.61474812463143,179.33071048683033
123.01507537688443,165.09767364730612,180.45712233655433
123.91959798994975,166.548575369048,181.5517874117831
124.82412060301507,167.9482521669647,182.61592616415678
125.7286432160804,169.31752859273195,183.650640505885
126.63316582914574,170.63865157761109,184.65691621289253
127.53768844221106,171.93099231331638,185.63568806373993
128.44221105527637,173.17793385531792,186.58787948367973
129.3467336683417,174.39779897234953,187.5142972478123
130.25125628140705,175.5747555362074,188.4156763110517
131.15577889447238,176.72635983688463,189.2928403150533
132.0603015075377,177.8374942167526,190.14629125792956
