Phase Angle (degrees),Brightness Value
124.0,1.584658118009896e-10
125.0,1.5058078450304376e-10
126.0,1.430231877105463e-10
127.0,1.3567568372374683e-10
128.0,1.2854466037782447e-10
129.0,1.216495962186413e-10
130.0,1.1494261596195589e-10
131.0,1.0858974946691308e-10
132.0,1.0243148231044956e-10
133.0,9.641956953918403e-11
134.0,9.058242722375941e-11
135.0,8.505960274085726e-11
136.0,7.97421313604145e-11
137.0,7.456759889899777e-11
138.0,6.954222193973299e-11
139.0,6.484694403045874e-11
140.0,6.055197712166406e-11
141.0,5.6287231185207934e-11
142.0,5.2056458922594885e-11
143.0,4.7968968304616824e-11
144.0,4.439989320186607e-11
145.0,4.1134112877796246e-11
146.0,3.785580804811606e-11
147.0,3.4565977394993975e-11
148.0,3.126562310514733e-11
149.0,2.8603119288042336e-11
150.0,2.6185189897929904e-11
151.0,2.3759288293439123e-11
152.0,2.1326153478226824e-11
153.0,1.893043904856181e-11
154.0,1.6939726574248477e-11
155.0,1.520030321969971e-11
156.0,1.3516087266187387e-11
157.0,1.1845596604583402e-11
158.0,1.0299132303272714e-11
159.0,8.981293971673752e-12
160.0,7.804694714026535e-12
161.0,6.703207989671745e-12
162.0,5.70617774409024e-12
163.0,4.814851450839119e-12
164.0,4.0423572142867244e-12
165.0,3.343759479233407e-12
166.0,2.676507676615934e-12
167.0,2.162482883386527e-12
168.0,1.7072612432247848e-12
169.0,1.3160115825279586e-12
170.0,9.965412497245012e-13
171.0,7.221486776032418e-13
172.0,5.273403292299847e-13
173.0,3.575245245782894e-13
174.0,2.057332110305394e-13
175.0,1.2171822745636702e-13
176.0,6.597156102826923e-14
177.0,2.5014567542440228e-14
178.0,6.478201748538463e-15
179.0,2.155623286977864e-16
180.0,0.0
