Phase Angle (degrees),Brightness Value
142.0,6.537818313373032e-07
143.0,6.171738117167178e-07
144.0,5.858377283701926e-07
145.0,5.566771127825496e-07
146.0,5.301406805753136e-07
147.0,5.054238936715312e-07
148.0,4.811694397817788e-07
149.0,4.5968868458639106e-07
150.0,4.417816703988766e-07
151.0,4.249115526409947e-07
152.0,4.083367258561343e-07
153.0,3.927067382080136e-07
154.0,3.7830920396987583e-07
155.0,3.6505574053084997e-07
156.0,3.5283680967086486e-07
157.0,3.424986098383071e-07
158.0,3.3442354967467705e-07
159.0,3.272897085998826e-07
160.0,3.2064867903532585e-07
161.0,3.151611551242848e-07
162.0,3.096116419506308e-07
163.0,3.041782277709325e-07
164.0,2.994812716643586e-07
165.0,2.957962039655455e-07
166.0,2.924066313770272e-07
167.0,2.889988207977287e-07
168.0,2.855217121817527e-07
169.0,2.821686256257305e-07
170.0,2.791946139737837e-07
171.0,2.7659004993315326e-07
172.0,2.7426182211484873e-07
173.0,2.7202891396093194e-07
174.0,2.700042100486209e-07
175.0,2.6795983662296405e-07
176.0,2.659483642922335e-07
177.0,2.6407774560713833e-07
178.0,2.624664445063995e-07
179.0,2.611589374848496e-07
180.0,2.5987130703275523e-07
