Phase Angle (degrees),Brightness Value
162.0,1.28684576497699e-06
163.0,1.27737664467393e-06
164.0,1.2684503480763379e-06
165.0,1.2614133235153065e-06
166.0,1.255299146393685e-06
167.0,1.249319232402093e-06
168.0,1.2435507666047366e-06
169.0,1.2381338824366245e-06
170.0,1.2335606839675242e-06
171.0,1.2298209370744822e-06
172.0,1.22615898860767e-06
173.0,1.2230915449641842e-06
174.0,1.22080360131099e-06
175.0,1.218450306099979e-06
176.0,1.215877404692794e-06
177.0,1.2134887999521741e-06
178.0,1.211196479826511e-06
179.0,1.209137538881071e-06
180.0,1.207592843888675e-06
