Time of Day (radians), Surface Temperature (K)
   0.50265,  52.29975
   0.50391,  52.29636
   0.50517,  52.29298
   0.50642,  52.28960
   0.50768,  52.28622
   0.50894,  52.28285
   0.51019,  52.27947
   0.51145,  52.27610
   0.51271,  52.27273
   0.51396,  52.26937
   0.51522,  52.26600
   0.51648,  52.26264
   0.51773,  52.25928
   0.51899,  52.25592
   0.52025,  52.25256
   0.52150,  52.24921
   0.52276,  52.24586
   0.52402,  52.24251
   0.52527,  52.23916
   0.52653,  52.23581
   0.52779,  52.23247
   0.52904,  52.22912
   0.53030,  52.22578
   0.53156,  52.22244
   0.53281,  52.21911
   0.53407,  52.21577
   0.53533,  52.21244
   0.53658,  52.20911
   0.53784,  52.20578
   0.53910,  52.20246
   0.54035,  52.19913
   0.54161,  52.19581
   0.54287,  52.19249
   0.54412,  52.18917
   0.54538,  52.18586
   0.54664,  52.18254
   0.54789,  52.17923
   0.54915,  52.17592
   0.55041,  52.17261
   0.55166,  52.16930
   0.55292,  52.16600
   0.55418,  52.16270
   0.55543,  52.15940
   0.55669,  52.15610
   0.55795,  52.15280
   0.55920,  52.14951
   0.56046,  52.14622
   0.56172,  52.14293
   0.56297,  52.13964
   0.56423,  52.13635
   0.56549,  52.13307
   0.56674,  52.12978
   0.56800,  52.12650
   0.56926,  52.12322
   0.57051,  52.11995
   0.57177,  52.11667
   0.57303,  52.11340
   0.57428,  52.11013
   0.57554,  52.10686
   0.57680,  52.10359
   0.57805,  52.10033
   0.57931,  52.09707
   0.58057,  52.09381
   0.58182,  52.09055
   0.58308,  52.08729
   0.58434,  52.08403
   0.58559,  52.08078
   0.58685,  52.07753
   0.58811,  52.07428
   0.58936,  52.07103
   0.59062,  52.06779
   0.59188,  52.06454
   0.59313,  52.06130
   0.59439,  52.05806
   0.59565,  52.05482
   0.59690,  52.05159
   0.59816,  52.04835
   0.59942,  52.04512
   0.60067,  52.04189
   0.60193,  52.03866
   0.60319,  52.03544
   0.60444,  52.03221
   0.60570,  52.02899
   0.60696,  52.02577
   0.60821,  52.02255
   0.60947,  52.01933
   0.61073,  52.01612
   0.61198,  52.01291
   0.61324,  52.00969
   0.61450,  52.00649
   0.61575,  52.00328
   0.61701,  52.00007
   0.61827,  51.99687
   0.61952,  51.99367
   0.62078,  51.99047
   0.62204,  51.98727
   0.62329,  51.98407
   0.62455,  51.98088
   0.62581,  51.97769
   0.62706,  51.97450
   0.62832,  51.97131
   0.62958,  51.96812
   0.63083,  51.96493
   0.63209,  51.96175
   0.63335,  51.95857
   0.63460,  51.95539
   0.63586,  51.95221
   0.63712,  51.94904
   0.63837,  51.94586
   0.63963,  51.94269
   0.64088,  51.93952
   0.64214,  51.93635
   0.64340,  51.93319
   0.64465,  51.93002
   0.64591,  51.92686
   0.64717,  51.92370
   0.64842,  51.92054
   0.64968,  51.91738
   0.65094,  51.91423
   0.65219,  51.91107
   0.65345,  51.90792
   0.65471,  51.90477
   0.65596,  51.90162
   0.65722,  51.89848
   0.65848,  51.89533
   0.65973,  51.89219
   0.66099,  51.88905
   0.66225,  51.88591
   0.66350,  51.88277
   0.66476,  51.87964
   0.66602,  51.87650
   0.66727,  51.87337
   0.66853,  51.87024
   0.66979,  51.86711
   0.67104,  51.86399
   0.67230,  51.86086
   0.67356,  51.85774
   0.67481,  51.85462
   0.67607,  51.85150
   0.67733,  51.84838
   0.67858,  51.84527
   0.67984,  51.84215
   0.68110,  51.83904
   0.68235,  51.83593
   0.68361,  51.83282
   0.68487,  51.82972
   0.68612,  51.82661
   0.68738,  51.82351
   0.68864,  51.82041
   0.68989,  51.81731
   0.69115,  51.81421
   0.69241,  51.81111
   0.69366,  51.80802
   0.69492,  51.80493
   0.69618,  51.80183
   0.69743,  51.79875
   0.69869,  51.79566
   0.69995,  51.79257
   0.70120,  51.78949
   0.70246,  51.78641
   0.70372,  51.78333
   0.70497,  51.78025
   0.70623,  51.77717
   0.70749,  51.77410
   0.70874,  51.77102
   0.71000,  51.76795
   0.71126,  51.76488
   0.71251,  51.76181
   0.71377,  51.75875
   0.71503,  51.75568
   0.71628,  51.75262
   0.71754,  51.74956
   0.71880,  51.74650
   0.72005,  51.74344
   0.72131,  51.74039
   0.72257,  51.73733
   0.72382,  51.73428
   0.72508,  51.73123
   0.72634,  51.72818
   0.72759,  51.72513
   0.72885,  51.72209
   0.73011,  51.71904
   0.73136,  51.71600
   0.73262,  51.71296
   0.73388,  51.70992
   0.73513,  51.70688
   0.73639,  51.70385
   0.73765,  51.70082
   0.73890,  51.69778
   0.74016,  51.69475
   0.74142,  51.69173
   0.74267,  51.68870
   0.74393,  51.68567
   0.74519,  51.68265
   0.74644,  51.67963
   0.74770,  51.67661
   0.74896,  51.67359
   0.75021,  51.67057
   0.75147,  51.66756
   0.75273,  51.66454
   0.75398,  51.66153
   0.75524,  51.65852
   0.75650,  51.65551
   0.75775,  51.65251
   0.75901,  51.64950
   0.76027,  51.64650
   0.76152,  51.64350
   0.76278,  51.64050
   0.76404,  51.63750
   0.76529,  51.63450
   0.76655,  51.63151
   0.76781,  51.62852
   0.76906,  51.62552
   0.77032,  51.62253
   0.77158,  51.61955
   0.77283,  51.61656
   0.77409,  51.61357
   0.77535,  51.61059
   0.77660,  51.60761
   0.77786,  51.60463
   0.77911,  51.60165
   0.78037,  51.59867
   0.78163,  51.59570
   0.78288,  51.59273
   0.78414,  51.58975
   0.78540,  51.58678
   0.78665,  51.58382
   0.78791,  51.58085
   0.78917,  51.57788
   0.79042,  51.57492
   0.79168,  51.57196
   0.79294,  51.56900
   0.79419,  51.56604
   0.79545,  51.56308
   0.79671,  51.56013
   0.79796,  51.55717
   0.79922,  51.55422
   0.80048,  51.55127
   0.80173,  51.54832
   0.80299,  51.54537
   0.80425,  51.54243
   0.80550,  51.53948
   0.80676,  51.53654
   0.80802,  51.53360
   0.80927,  51.53066
   0.81053,  51.52772
   0.81179,  51.52479
   0.81304,  51.52185
   0.81430,  51.51892
   0.81556,  51.51599
   0.81681,  51.51306
   0.81807,  51.51013
   0.81933,  51.50720
   0.82058,  51.50428
   0.82184,  51.50136
   0.82310,  51.49843
   0.82435,  51.49551
   0.82561,  51.49260
   0.82687,  51.48968
   0.82812,  51.48676
   0.82938,  51.48385
   0.83064,  51.48094
   0.83189,  51.47803
   0.83315,  51.47512
   0.83441,  51.47221
   0.83566,  51.46930
   0.83692,  51.46640
   0.83818,  51.46350
   0.83943,  51.46060
   0.84069,  51.45770
   0.84195,  51.45480
   0.84320,  51.45190
   0.84446,  51.44901
   0.84572,  51.44611
   0.84697,  51.44322
   0.84823,  51.44033
   0.84949,  51.43744
   0.85074,  51.43456
   0.85200,  51.43167
   0.85326,  51.42879
   0.85451,  51.42590
   0.85577,  51.42302
   0.85703,  51.42014
   0.85828,  51.41727
   0.85954,  51.41439
   0.86080,  51.41152
   0.86205,  51.40864
   0.86331,  51.40577
   0.86457,  51.40290
   0.86582,  51.40003
   0.86708,  51.39716
   0.86834,  51.39430
   0.86959,  51.39144
   0.87085,  51.38857
   0.87211,  51.38571
   0.87336,  51.38285
   0.87462,  51.38000
   0.87588,  51.37714
   0.87713,  51.37428
   0.87839,  51.37143
   0.87965,  51.36858
   0.88090,  51.36573
   0.88216,  51.36288
   0.88342,  51.36003
   0.88467,  51.35719
   0.88593,  51.35434
   0.88719,  51.35150
   0.88844,  51.34866
   0.88970,  51.34582
   0.89096,  51.34298
   0.89221,  51.34015
   0.89347,  51.33731
   0.89473,  51.33448
   0.89598,  51.33165
   0.89724,  51.32881
   0.89850,  51.32599
   0.89975,  51.32316
   0.90101,  51.32033
   0.90227,  51.31751
   0.90352,  51.31468
   0.90478,  51.31186
   0.90604,  51.30904
   0.90729,  51.30622
   0.90855,  51.30341
   0.90981,  51.30059
   0.91106,  51.29778
   0.91232,  51.29496
   0.91358,  51.29215
   0.91483,  51.28934
   0.91609,  51.28654
   0.91735,  51.28373
   0.91860,  51.28092
   0.91986,  51.27812
   0.92111,  51.27532
   0.92237,  51.27252
   0.92363,  51.26972
   0.92488,  51.26692
   0.92614,  51.26412
   0.92740,  51.26133
   0.92865,  51.25854
   0.92991,  51.25574
   0.93117,  51.25295
   0.93242,  51.25016
   0.93368,  51.24738
   0.93494,  51.24459
   0.93619,  51.24181
   0.93745,  51.23902
   0.93871,  51.23624
   0.93996,  51.23346
   0.94122,  51.23068
   0.94248,  51.22790
   0.94373,  51.22513
   0.94499,  51.22235
   0.94625,  51.21958
   0.94750,  51.21681
   0.94876,  51.21404
   0.95002,  51.21127
   0.95127,  51.20850
   0.95253,  51.20574
   0.95379,  51.20297
   0.95504,  51.20021
   0.95630,  51.19745
   0.95756,  51.19469
   0.95881,  51.19193
   0.96007,  51.18917
   0.96133,  51.18642
   0.96258,  51.18366
   0.96384,  51.18091
   0.96510,  51.17816
   0.96635,  51.17541
   0.96761,  51.17266
   0.96887,  51.16991
   0.97012,  51.16717
   0.97138,  51.16442
   0.97264,  51.16168
   0.97389,  51.15894
   0.97515,  51.15620
   0.97641,  51.15346
   0.97766,  51.15072
   0.97892,  51.14798
   0.98018,  51.14525
   0.98143,  51.14252
   0.98269,  51.13979
   0.98395,  51.13705
   0.98520,  51.13433
   0.98646,  51.13160
   0.98772,  51.12887
   0.98897,  51.12615
   0.99023,  51.12342
   0.99149,  51.12070
   0.99274,  51.11798
   0.99400,  51.11526
   0.99526,  51.11255
   0.99651,  51.10983
   0.99777,  51.10711
   0.99903,  51.10440
   1.00028,  51.10169
   1.00154,  51.09898
   1.00280,  51.09627
   1.00405,  51.09356
   1.00531,  51.09085
   1.00657,  51.08815
   1.00782,  51.08545
   1.00908,  51.08274
   1.01034,  51.08004
   1.01159,  51.07734
   1.01285,  51.07464
   1.01411,  51.07195
   1.01536,  51.06925
   1.01662,  51.06656
   1.01788,  51.06386
   1.01913,  51.06117
   1.02039,  51.05848
   1.02165,  51.05579
   1.02290,  51.05311
   1.02416,  51.05042
   1.02542,  51.04774
   1.02667,  51.04505
   1.02793,  51.04237
   1.02919,  51.03969
   1.03044,  51.03701
   1.03170,  51.03433
   1.03296,  51.03166
   1.03421,  51.02898
   1.03547,  51.02631
   1.03673,  51.02364
   1.03798,  51.02097
   1.03924,  51.01830
   1.04050,  51.01563
   1.04175,  51.01296
   1.04301,  51.01029
   1.04427,  51.00763
   1.04552,  51.00497
   1.04678,  51.00231
   1.04804,  50.99965
   1.04929,  50.99699
   1.05055,  50.99433
   1.05181,  50.99167
   1.05306,  50.98902
   1.05432,  50.98636
   1.05558,  50.98371
   1.05683,  50.98106
   1.05809,  50.97841
   1.05935,  50.97576
   1.06060,  50.97312
   1.06186,  50.97047
   1.06311,  50.96783
   1.06437,  50.96518
   1.06563,  50.96254
   1.06688,  50.95990
   1.06814,  50.95726
   1.06940,  50.95463
   1.07065,  50.95199
   1.07191,  50.94935
   1.07317,  50.94672
   1.07442,  50.94409
   1.07568,  50.94146
   1.07694,  50.93883
   1.07819,  50.93620
   1.07945,  50.93357
   1.08071,  50.93095
   1.08196,  50.92832
   1.08322,  50.92570
   1.08448,  50.92308
   1.08573,  50.92046
   1.08699,  50.91784
   1.08825,  50.91522
   1.08950,  50.91260
   1.09076,  50.90999
   1.09202,  50.90737
   1.09327,  50.90476
   1.09453,  50.90215
   1.09579,  50.89954
   1.09704,  50.89693
   1.09830,  50.89432
   1.09956,  50.89172
   1.10081,  50.88911
   1.10207,  50.88651
   1.10333,  50.88391
   1.10458,  50.88130
   1.10584,  50.87870
   1.10710,  50.87611
   1.10835,  50.87351
   1.10961,  50.87091
   1.11087,  50.86832
   1.11212,  50.86572
   1.11338,  50.86313
   1.11464,  50.86054
   1.11589,  50.85795
   1.11715,  50.85536
   1.11841,  50.85278
   1.11966,  50.85019
   1.12092,  50.84761
   1.12218,  50.84502
   1.12343,  50.84244
   1.12469,  50.83986
   1.12595,  50.83728
   1.12720,  50.83470
   1.12846,  50.83213
   1.12972,  50.82955
   1.13097,  50.82698
   1.13223,  50.82440
   1.13349,  50.82183
   1.13474,  50.81926
   1.13600,  50.81669
   1.13726,  50.81412
   1.13851,  50.81156
   1.13977,  50.80899
   1.14103,  50.80643
   1.14228,  50.80386
   1.14354,  50.80130
   1.14480,  50.79874
   1.14605,  50.79618
   1.14731,  50.79362
   1.14857,  50.79107
   1.14982,  50.78851
   1.15108,  50.78596
   1.15234,  50.78341
   1.15359,  50.78085
   1.15485,  50.77830
   1.15611,  50.77575
   1.15736,  50.77321
   1.15862,  50.77066
   1.15988,  50.76811
   1.16113,  50.76557
   1.16239,  50.76303
   1.16365,  50.76048
   1.16490,  50.75794
   1.16616,  50.75540
   1.16742,  50.75287
   1.16867,  50.75033
   1.16993,  50.74779
   1.17119,  50.74526
   1.17244,  50.74273
   1.17370,  50.74019
   1.17496,  50.73766
   1.17621,  50.73513
   1.17747,  50.73260
   1.17873,  50.73008
   1.17998,  50.72755
   1.18124,  50.72503
   1.18250,  50.72250
   1.18375,  50.71998
   1.18501,  50.71746
   1.18627,  50.71494
   1.18752,  50.71242
   1.18878,  50.70990
   1.19004,  50.70739
   1.19129,  50.70487
   1.19255,  50.70236
   1.19381,  50.69985
   1.19506,  50.69734
   1.19632,  50.69483
   1.19758,  50.69232
   1.19883,  50.68981
   1.20009,  50.68730
   1.20135,  50.68480
   1.20260,  50.68229
   1.20386,  50.67979
   1.20511,  50.67729
   1.20637,  50.67479
   1.20763,  50.67229
   1.20888,  50.66979
   1.21014,  50.66729
   1.21140,  50.66480
   1.21265,  50.66230
   1.21391,  50.65981
   1.21517,  50.65732
   1.21642,  50.65483
   1.21768,  50.65234
   1.21894,  50.64985
   1.22019,  50.64736
   1.22145,  50.64487
   1.22271,  50.64239
   1.22396,  50.63991
   1.22522,  50.63742
   1.22648,  50.63494
   1.22773,  50.63246
   1.22899,  50.62998
   1.23025,  50.62750
   1.23150,  50.62503
   1.23276,  50.62255
   1.23402,  50.62008
   1.23527,  50.61760
   1.23653,  50.61513
   1.23779,  50.61266
   1.23904,  50.61019
   1.24030,  50.60772
   1.24156,  50.60526
   1.24281,  50.60279
   1.24407,  50.60032
   1.24533,  50.59786
   1.24658,  50.59540
   1.24784,  50.59294
   1.24910,  50.59048
   1.25035,  50.58802
   1.25161,  50.58556
   1.25287,  50.58310
   1.25412,  50.58065
   1.25538,  50.57819
   1.25664,  50.57574
   1.25789,  50.57329
   1.25915,  50.57084
   1.26041,  50.56839
   1.26166,  50.56594
   1.26292,  50.56349
   1.26418,  50.56104
   1.26543,  50.55860
   1.26669,  50.55615
   1.26795,  50.55371
   1.26920,  50.55127
   1.27046,  50.54883
   1.27172,  50.54639
   1.27297,  50.54395
   1.27423,  50.54151
   1.27549,  50.53908
   1.27674,  50.53664
   1.27800,  50.53421
   1.27926,  50.53177
   1.28051,  50.52934
   1.28177,  50.52691
   1.28303,  50.52448
   1.28428,  50.52205
   1.28554,  50.51963
   1.28680,  50.51720
   1.28805,  50.51478
   1.28931,  50.51235
   1.29057,  50.50993
   1.29182,  50.50751
   1.29308,  50.50509
