Phase Angle (degrees),Brightness Value
117.0,2.0125733072620474e-10
118.0,1.9227575729206125e-10
119.0,1.8356470060106946e-10
120.0,1.750254170464105e-10
121.0,1.6661199699436666e-10
122.0,1.58397403598914e-10
123.0,1.5037960920855576e-10
124.0,1.4250604229507997e-10
125.0,1.3502983223149123e-10
126.0,1.2783934181470083e-10
127.0,1.2090382447086742e-10
128.0,1.1416740517685204e-10
129.0,1.0759761844665194e-10
130.0,1.0131028022555893e-10
131.0,9.526932895263541e-11
132.0,8.946416705511823e-11
133.0,8.386286999935432e-11
134.0,7.844293746959776e-11
135.0,7.326513909909474e-11
136.0,6.838124068831293e-11
137.0,6.374325786721929e-11
138.0,5.937867553826755e-11
139.0,5.52412615881865e-11
140.0,5.128411181617973e-11
141.0,4.7509093613824236e-11
142.0,4.3962666713244125e-11
143.0,4.061664783451473e-11
144.0,3.7429099556687464e-11
145.0,3.443144980425337e-11
146.0,3.157632627942093e-11
147.0,2.8839654104750073e-11
148.0,2.630455519817852e-11
149.0,2.3865247220417248e-11
150.0,2.1469434888219835e-11
151.0,1.914685075265691e-11
152.0,1.6947312529064723e-11
153.0,1.4943210156867663e-11
154.0,1.3073133465380408e-11
155.0,1.1388243745135263e-11
156.0,9.903689624929464e-12
157.0,8.58573349294271e-12
158.0,7.409423415476971e-12
159.0,6.262318249544691e-12
160.0,5.304533204870938e-12
161.0,4.537587477137548e-12
162.0,3.852996851615921e-12
163.0,3.263358078385159e-12
164.0,2.7394507385567766e-12
165.0,2.30948899266987e-12
166.0,1.921096617042229e-12
167.0,1.5736781307364424e-12
168.0,1.2660446380420293e-12
169.0,1.004364581540463e-12
170.0,7.765069619392057e-13
171.0,5.96851716528692e-13
172.0,4.711526205872234e-13
173.0,3.7699048570555603e-13
174.0,3.2489126722738144e-13
175.0,2.9065438304188594e-13
176.0,2.6303926475643737e-13
177.0,2.4632411350138716e-13
178.0,2.35993186834164e-13
179.0,2.2954360386053674e-13
180.0,2.2684974386261474e-13
